number,value,state,param_model_type,param_num_imputer,param_num_scaler,param_cat_encoder,param_feature_interaction,param_imbalance,param_xgb_n_estimators,param_xgb_max_depth,param_xgb_lr,param_xgb_subsample,param_xgb_colsample,param_xgb_alpha,param_xgb_lambda,param_et_n_estimators,param_et_max_depth,param_et_min_split,param_et_min_leaf,param_et_max_features,param_lr_C,param_rf_n_estimators,param_rf_max_depth,param_rf_min_split,param_rf_min_leaf,param_rf_max_features,param_lgb_n_estimators,param_lgb_num_leaves,param_lgb_lr,param_lgb_subsample,param_lgb_colsample,param_lgb_alpha,param_lgb_lambda
19,0.7136408672560832,COMPLETE,logistic_regression,mean,robust,ordinal,none,none,,,,,,,,,,,,,0.061937179416835984,,,,,,,,,,,,
18,0.7127917338565234,COMPLETE,logistic_regression,mean,robust,ordinal,none,class_weight,,,,,,,,,,,,,0.15894642855798163,,,,,,,,,,,,
9,0.7124314059632468,COMPLETE,logistic_regression,constant_zero,robust,ordinal,none,class_weight,,,,,,,,,,,,,68.11991466118579,,,,,,,,,,,,
13,0.7107280171331898,COMPLETE,logistic_regression,constant_zero,robust,ordinal,none,smote,,,,,,,,,,,,,2.1688426869252213,,,,,,,,,,,,
17,0.7106867500165651,COMPLETE,logistic_regression,median,robust,ordinal,none,smote,,,,,,,,,,,,,76.97192144784917,,,,,,,,,,,,
16,0.7101341208156915,COMPLETE,logistic_regression,constant_zero,standard,ordinal,none,smote,,,,,,,,,,,,,0.9389650112126741,,,,,,,,,,,,
14,0.7093908279140477,COMPLETE,logistic_regression,constant_zero,robust,onehot,none,smote,,,,,,,,,,,,,3.225651169717548,,,,,,,,,,,,
12,0.7092734847643594,COMPLETE,lightgbm,constant_zero,robust,ordinal,none,class_weight,,,,,,,,,,,,,,,,,,,500.0,18.0,0.010527990749581401,0.6030921365836792,0.6237900041209309,0.00010393944223361813,9.646604161599672
11,0.7085175629752477,COMPLETE,lightgbm,constant_zero,robust,ordinal,none,class_weight,,,,,,,,,,,,,,,,,,,500.0,16.0,0.011017064426454223,0.606303185635808,0.6169279525761292,0.0002900780000808802,8.821623493855808
6,0.7076182172988588,COMPLETE,extra_trees,constant_zero,minmax,onehot,poly2,none,,,,,,,,300.0,12.0,2.0,6.0,log2,,,,,,,,,,,,,
1,0.7068754123569958,COMPLETE,extra_trees,constant_zero,standard,onehot,poly2,class_weight,,,,,,,,300.0,8.0,11.0,6.0,log2,,,,,,,,,,,,,
4,0.705675974825166,COMPLETE,random_forest,mean,minmax,onehot,none,class_weight,,,,,,,,,,,,,,150.0,15.0,12.0,9.0,sqrt,,,,,,,
8,0.7019449237147664,COMPLETE,xgboost,median,minmax,onehot,poly2,class_weight,350.0,3.0,0.03492696334354233,0.7060809470726902,0.6975958573516334,7.32913588512905,0.00923609993453637,,,,,,,,,,,,,,,,,,
5,0.7015998826897246,COMPLETE,random_forest,median,robust,ordinal,poly2,none,,,,,,,,,,,,,,200.0,7.0,2.0,7.0,sqrt,,,,,,,
0,0.6859268149260864,COMPLETE,xgboost,constant_zero,none,onehot,poly2,class_weight,200.0,7.0,0.01607123851203988,0.7168578594140872,0.7465447373174766,0.019069966103000432,0.8431013932082458,,,,,,,,,,,,,,,,,,
10,0.6797246309821461,COMPLETE,logistic_regression,constant_zero,none,ordinal,none,class_weight,,,,,,,,,,,,,59.68973595495164,,,,,,,,,,,,
3,0.6660098360690778,COMPLETE,xgboost,mean,standard,ordinal,none,none,400.0,8.0,0.06746437142284309,0.9083868719818244,0.7975182385457563,0.04108318894699928,0.013731092468240296,,,,,,,,,,,,,,,,,,
7,0.6492161366261843,COMPLETE,lightgbm,mean,robust,onehot,poly2,none,,,,,,,,,,,,,,,,,,,250.0,97.0,0.211417353855613,0.954834569706047,0.9119502183430496,0.1622401095006137,0.00026345098397336067
15,0.6190004738911362,COMPLETE,xgboost,constant_zero,minmax,ordinal,none,smote,100.0,5.0,0.29817248505770255,0.9813372060065675,0.9767044109253639,0.0005495469221652751,0.0002650145827470331,,,,,,,,,,,,,,,,,,
2,-inf,COMPLETE,logistic_regression,constant_zero,robust,ordinal,poly2,class_weight,,,,,,,,,,,,,0.009853225172032555,,,,,,,,,,,,
