model,number,value,params
xgboost,0,0.683819610284495,"{""n_estimators"": 300, ""max_depth"": 10, ""learning_rate"": 0.1205712628744377, ""subsample"": 0.8394633936788146, ""colsample_bytree"": 0.6624074561769746, ""reg_alpha"": 0.000602521573620386, ""reg_lambda"": 0.00019517224641449495}"
xgboost,1,0.7001558203112884,"{""n_estimators"": 550, ""max_depth"": 7, ""learning_rate"": 0.11114989443094977, ""subsample"": 0.608233797718321, ""colsample_bytree"": 0.9879639408647978, ""reg_alpha"": 1.452824663751602, ""reg_lambda"": 0.0011526449540315614}"
xgboost,2,0.7205772075034961,"{""n_estimators"": 200, ""max_depth"": 4, ""learning_rate"": 0.028145092716060652, ""subsample"": 0.8099025726528951, ""colsample_bytree"": 0.7727780074568463, ""reg_alpha"": 0.0028585493941961923, ""reg_lambda"": 0.11462107403425029}"
xgboost,3,0.7214377740751011,"{""n_estimators"": 150, ""max_depth"": 5, ""learning_rate"": 0.03476649150592621, ""subsample"": 0.7824279936868144, ""colsample_bytree"": 0.9140703845572055, ""reg_alpha"": 0.0009962513222055117, ""reg_lambda"": 0.03725393839578886}"
xgboost,4,0.7227234550517156,"{""n_estimators"": 400, ""max_depth"": 3, ""learning_rate"": 0.07896186801026692, ""subsample"": 0.6682096494749166, ""colsample_bytree"": 0.6260206371941118, ""reg_alpha"": 5.55172168524472, ""reg_lambda"": 6.732248920775334}"
xgboost,5,0.7226647648619419,"{""n_estimators"": 500, ""max_depth"": 5, ""learning_rate"": 0.013940346079873234, ""subsample"": 0.8736932106048627, ""colsample_bytree"": 0.7760609974958405, ""reg_alpha"": 0.00040755964400728694, ""reg_lambda"": 0.02991469302130215}"
xgboost,6,0.7197369197349691,"{""n_estimators"": 100, ""max_depth"": 10, ""learning_rate"": 0.024112898115291975, ""subsample"": 0.8650089137415928, ""colsample_bytree"": 0.7246844304357644, ""reg_alpha"": 0.039841905944346875, ""reg_lambda"": 0.05414413211338523}"
xgboost,7,0.7044578135702587,"{""n_estimators"": 200, ""max_depth"": 10, ""learning_rate"": 0.13962563737015762, ""subsample"": 0.9757995766256756, ""colsample_bytree"": 0.9579309401710595, ""reg_alpha"": 0.09761125443110452, ""reg_lambda"": 4.067908494359543}"
lightgbm,0,0.7025121606829354,"{""n_estimators"": 300, ""num_leaves"": 122, ""learning_rate"": 0.1205712628744377, ""subsample"": 0.8394633936788146, ""colsample_bytree"": 0.6624074561769746, ""reg_alpha"": 0.000602521573620386, ""reg_lambda"": 0.00019517224641449495}"
lightgbm,1,0.7094386382207875,"{""n_estimators"": 550, ""num_leaves"": 82, ""learning_rate"": 0.11114989443094977, ""subsample"": 0.608233797718321, ""colsample_bytree"": 0.9879639408647978, ""reg_alpha"": 1.452824663751602, ""reg_lambda"": 0.0011526449540315614}"
lightgbm,2,0.7226986260254166,"{""n_estimators"": 200, ""num_leaves"": 35, ""learning_rate"": 0.028145092716060652, ""subsample"": 0.8099025726528951, ""colsample_bytree"": 0.7727780074568463, ""reg_alpha"": 0.0028585493941961923, ""reg_lambda"": 0.11462107403425029}"
lightgbm,3,0.7221212394281763,"{""n_estimators"": 150, ""num_leaves"": 48, ""learning_rate"": 0.03476649150592621, ""subsample"": 0.7824279936868144, ""colsample_bytree"": 0.9140703845572055, ""reg_alpha"": 0.0009962513222055117, ""reg_lambda"": 0.03725393839578886}"
lightgbm,4,0.72216474115698,"{""n_estimators"": 400, ""num_leaves"": 20, ""learning_rate"": 0.07896186801026692, ""subsample"": 0.6682096494749166, ""colsample_bytree"": 0.6260206371941118, ""reg_alpha"": 5.55172168524472, ""reg_lambda"": 6.732248920775334}"
lightgbm,5,0.723478812181544,"{""n_estimators"": 500, ""num_leaves"": 49, ""learning_rate"": 0.013940346079873234, ""subsample"": 0.8736932106048627, ""colsample_bytree"": 0.7760609974958405, ""reg_alpha"": 0.00040755964400728694, ""reg_lambda"": 0.02991469302130215}"
lightgbm,6,0.7205588646263278,"{""n_estimators"": 100, ""num_leaves"": 117, ""learning_rate"": 0.024112898115291975, ""subsample"": 0.8650089137415928, ""colsample_bytree"": 0.7246844304357644, ""reg_alpha"": 0.039841905944346875, ""reg_lambda"": 0.05414413211338523}"
lightgbm,7,0.714231275685863,"{""n_estimators"": 200, ""num_leaves"": 124, ""learning_rate"": 0.13962563737015762, ""subsample"": 0.9757995766256756, ""colsample_bytree"": 0.9579309401710595, ""reg_alpha"": 0.09761125443110452, ""reg_lambda"": 4.067908494359543}"
logistic_regression,0,0.7176788054398585,"{""C"": 0.07459343285726547}"
logistic_regression,1,0.7175810500415039,"{""C"": 56.69849511478853}"
logistic_regression,2,0.7175223785549658,"{""C"": 4.570563099801454}"
logistic_regression,3,0.7175844785628819,"{""C"": 0.9846738873614568}"
logistic_regression,4,0.7181395038339353,"{""C"": 0.006026889128682512}"
logistic_regression,5,0.7181552890109272,"{""C"": 0.0060252157362038605}"
logistic_regression,6,0.718476135940497,"{""C"": 0.0019517224641449498}"
logistic_regression,7,0.71757868006843,"{""C"": 21.42302175774107}"
