feature,year,psi
loan_amnt,2007,0.0
int_rate,2007,0.0
fico_avg,2007,0.0
annual_inc,2007,0.0
dti,2007,0.0
revol_util,2007,0.0
installment,2007,0.0
open_acc,2007,0.0
loan_amnt,2008,0.297168
int_rate,2008,0.531804
fico_avg,2008,0.729259
annual_inc,2008,0.330675
dti,2008,0.273822
revol_util,2008,0.104607
installment,2008,0.207892
open_acc,2008,0.070488
loan_amnt,2009,0.413254
int_rate,2009,2.177252
fico_avg,2009,2.908098
annual_inc,2009,0.373557
dti,2009,0.379487
revol_util,2009,0.167244
installment,2009,0.342292
open_acc,2009,0.135938
loan_amnt,2010,0.247727
int_rate,2010,0.279546
fico_avg,2010,2.869586
annual_inc,2010,0.292925
dti,2010,0.386239
revol_util,2010,0.12041
installment,2010,0.199379
open_acc,2010,0.104065
loan_amnt,2011,0.314744
int_rate,2011,0.288129
fico_avg,2011,2.898141
annual_inc,2011,0.382197
dti,2011,0.462873
revol_util,2011,0.190172
installment,2011,0.329426
open_acc,2011,0.112668
loan_amnt,2012,0.543922
int_rate,2012,0.613376
fico_avg,2012,2.904028
annual_inc,2012,0.472907
dti,2012,0.780008
revol_util,2012,0.505103
installment,2012,0.5771
open_acc,2012,0.191422
loan_amnt,2013,0.768055
int_rate,2013,0.532038
fico_avg,2013,3.047765
annual_inc,2013,0.57038
dti,2013,0.922807
revol_util,2013,0.698589
installment,2013,0.869874
open_acc,2013,0.254811
loan_amnt,2014,0.69863
int_rate,2014,0.559825
fico_avg,2014,3.03652
annual_inc,2014,0.512471
dti,2014,0.969632
revol_util,2014,0.653226
installment,2014,0.789946
open_acc,2014,0.24433
loan_amnt,2015,0.687425
int_rate,2015,0.590757
fico_avg,2015,3.009243
annual_inc,2015,0.480034
dti,2015,0.945254
revol_util,2015,0.544315
installment,2015,0.72736
open_acc,2015,0.22532
loan_amnt,2016,0.578831
int_rate,2016,0.478091
fico_avg,2016,2.967455
annual_inc,2016,0.50557
dti,2016,0.875647
revol_util,2016,0.437442
installment,2016,0.611493
open_acc,2016,0.215296
loan_amnt,2017,0.480441
int_rate,2017,0.420392
fico_avg,2017,2.892002
annual_inc,2017,0.455264
dti,2017,0.788601
revol_util,2017,0.361169
installment,2017,0.491668
open_acc,2017,0.166076
loan_amnt,2018,0.44381
int_rate,2018,0.276139
fico_avg,2018,2.815117
annual_inc,2018,0.413182
dti,2018,0.494317
revol_util,2018,0.265758
installment,2018,0.448401
open_acc,2018,0.11869
