feature,original_value,counterfactual_value,original_prediction,counterfactual_prediction,predicted_class,probability_change
fico_avg,712.0,662.0,0.1497944,0.21024969220161438,0,0.06045529246330261
fico_avg,712.0,704.5,0.1497944,0.16438615322113037,0,0.014591753482818604
fico_avg,712.0,747.0,0.1497944,0.12985053658485413,0,-0.01994386315345764
fico_avg,712.0,789.5,0.1497944,0.10935765504837036,0,-0.040436744689941406
fico_avg,712.0,832.0,0.1497944,0.08775724470615387,0,-0.0620371550321579
int_rate,13.33,5.31,0.1497944,0.10578073561191559,0,-0.04401366412639618
int_rate,13.33,11.73,0.1497944,0.1444977968931198,0,-0.005296602845191956
int_rate,13.33,18.15,0.1497944,0.18583431839942932,0,0.036039918661117554
int_rate,13.33,24.569999999999997,0.1497944,0.2048928439617157,0,0.05509844422340393
int_rate,13.33,30.99,0.1497944,0.2277984768152237,0,0.07800407707691193
dti,29.59,0.0,0.1497944,0.15282042324543,0,0.003026023507118225
dti,29.59,19.6125,0.1497944,0.13234658539295197,0,-0.017447814345359802
dti,29.59,39.225,0.1497944,0.12710164487361908,0,-0.022692754864692688
dti,29.59,58.837500000000006,0.1497944,0.1192212700843811,0,-0.030573129653930664
dti,29.59,78.45,0.1497944,0.1192212700843811,0,-0.030573129653930664
annual_inc,100000.0,10500.0,0.1497944,0.14669977128505707,0,-0.0030946284532546997
annual_inc,100000.0,257875.0,0.1497944,0.1303785741329193,0,-0.019415825605392456
annual_inc,100000.0,505250.0,0.1497944,0.12156137079000473,0,-0.028233028948307037
annual_inc,100000.0,752625.0,0.1497944,0.12156137079000473,0,-0.028233028948307037
annual_inc,100000.0,1000000.0,0.1497944,0.12156137079000473,0,-0.028233028948307037
