column,q1,q3,iqr,lower_fence,upper_fence,n_outliers,outlier_pct
term_months,36.0,36.0,0.0,36.0,36.0,49124,24.56
delinq_2yrs,0.0,0.0,0.0,0.0,0.0,38404,19.2
is_holiday,0.0,0.0,0.0,0.0,0.0,15246,7.62
decayed_int_rate,2.3234,5.5371,3.2138,-2.4973,10.3578,11216,5.61
decayed_loan_amnt,1909.1621,6288.561,4379.3989,-4659.9362,12857.6594,10921,5.46
annual_inc,45649.75,90000.0,44350.25,-20875.625,156525.375,9680,4.84
decayed_fico,137.77,290.9146,153.1445,-91.9467,520.6314,7674,3.84
fico_avg,672.0,712.0,40.0,612.0,772.0,6877,3.44
open_acc,8.0,14.0,6.0,-1.0,23.0,6852,3.43
installment,249.54,580.34,330.8,-246.66,1076.54,6273,3.14
int_rate,9.75,16.02,6.27,0.345,25.425,3895,1.95
loan_amnt,8000.0,20000.0,12000.0,-10000.0,38000.0,1098,0.55
dti,11.78,24.06,12.28,-6.64,42.48,848,0.42
revol_util,33.3,70.7,37.4,-22.8,126.8,11,0.01
is_weekend,0.0,1.0,1.0,-1.5,2.5,0,0.0
is_quarter_end,0.0,0.0,0.0,0.0,0.0,0,0.0
is_month_end,0.0,0.0,0.0,0.0,0.0,0,0.0
