issue_quarter,loan_count,default_count,default_rate,avg_fed_funds_rate,avg_unemployment_rate,avg_cpi,quarterly_cpi_inflation_rate
2007-Q2,4,3,0.75,5.25,4.5,206.631,1.1326
2007-Q3,111,40,0.3604,5.0733,4.6667,207.939,0.633
2007-Q4,249,115,0.4618,4.4967,4.8,210.4897,1.2266
2008-Q1,719,234,0.3255,3.1767,5.0,212.7697,1.0832
2008-Q2,358,110,0.3073,2.0867,5.3333,215.5377,1.3009
2008-Q3,210,52,0.2476,1.94,6.0,218.861,1.5419
2008-Q4,524,100,0.1908,0.5067,6.8667,213.8487,-2.2902
2009-Q1,805,123,0.1528,0.1833,8.2667,212.3777,-0.6879
2009-Q2,998,158,0.1583,0.18,9.3,213.507,0.5318
2009-Q3,1261,174,0.138,0.1567,9.6333,215.344,0.8604
2009-Q4,1781,268,0.1505,0.12,9.9333,217.03,0.7829
2010-Q1,1999,254,0.1271,0.1333,9.8333,217.374,0.1585
2010-Q2,2844,441,0.1551,0.1933,9.6333,217.2973,-0.0353
2010-Q3,3361,537,0.1598,0.1867,9.4667,217.9343,0.2931
2010-Q4,3602,525,0.1458,0.1867,9.5,219.699,0.8097
2011-Q1,4126,565,0.1369,0.1567,9.0333,222.0437,1.0672
2011-Q2,5102,783,0.1535,0.0933,9.0667,224.5683,1.137
2011-Q3,5876,861,0.1465,0.0833,9.0,226.0327,0.6521
2011-Q4,6617,1088,0.1644,0.0733,8.6333,227.0473,0.4489
2012-Q1,8076,1304,0.1615,0.1033,8.2667,228.326,0.5632
2012-Q2,10447,1779,0.1703,0.1533,8.2,228.808,0.2111
2012-Q3,16133,2654,0.1645,0.1433,8.0333,229.841,0.4515
2012-Q4,18711,2907,0.1554,0.16,7.8,231.3693,0.665
2013-Q1,22706,3410,0.1502,0.1433,7.7333,232.2993,0.402
2013-Q2,30668,4985,0.1625,0.1167,7.5333,232.045,-0.1095
2013-Q3,37571,5847,0.1556,0.0833,7.2333,233.3,0.5408
2013-Q4,43862,6785,0.1547,0.0867,6.9333,234.1627,0.3698
2014-Q1,47049,7787,0.1655,0.0733,6.6667,235.621,0.6228
2014-Q2,52528,9838,0.1873,0.0933,6.2,236.8723,0.5311
2014-Q3,55327,10479,0.1894,0.09,6.0667,237.4783,0.2558
2014-Q4,68533,13392,0.1954,0.1,5.7,236.8883,-0.2484
2015-Q1,76993,15625,0.2029,0.11,5.5333,235.355,-0.6473
2015-Q2,86212,17955,0.2083,0.1233,5.4333,236.96,0.6819
2015-Q3,98266,20181,0.2054,0.1367,5.1,237.855,0.3777
2015-Q4,115434,23402,0.2027,0.16,5.0333,237.837,-0.0076
2016-Q1,112966,23823,0.2109,0.36,4.9,237.6893,-0.0621
2016-Q2,63851,16857,0.264,0.3733,4.9333,239.5903,0.7998
2016-Q3,62074,16989,0.2737,0.3967,4.9,240.6073,0.4245
2016-Q4,58760,15129,0.2575,0.45,4.7667,242.1347,0.6348
2017-Q1,48333,12210,0.2526,0.7,4.5667,243.8387,0.7037
2017-Q2,46274,12373,0.2674,0.95,4.3667,244.12,0.1154
2017-Q3,46261,12905,0.279,1.1533,4.3333,245.287,0.478
2017-Q4,36457,9685,0.2657,1.2033,4.1667,247.2383,0.7955
2018-Q1,24682,6539,0.2649,1.4467,4.0333,249.3217,0.8426
2018-Q2,20929,5827,0.2784,1.7367,3.9333,250.679,0.5444
2018-Q3,12049,2758,0.2289,1.9233,3.7667,251.6863,0.4018
2018-Q4,5879,971,0.1652,2.22,3.8333,252.711,0.4071
