state,loan_count,default_count,default_rate
MS,6799,1929,0.2837
NE,3680,997,0.2709
AR,10229,2602,0.2544
AL,16922,4235,0.2503
OK,12502,3104,0.2483
LA,15757,3851,0.2444
NY,111954,26325,0.2351
NV,20568,4744,0.2306
FL,97522,22447,0.2302
MD,31864,7291,0.2288
MO,21662,4929,0.2275
ND,1649,375,0.2274
TN,20714,4693,0.2266
IN,22063,4996,0.2264
NM,7479,1690,0.226
NJ,49247,11031,0.224
SD,2804,627,0.2236
KY,13033,2888,0.2216
PA,46271,10214,0.2207
NC,38409,8478,0.2207
OH,44406,9564,0.2154
MI,35793,7710,0.2154
HI,6866,1474,0.2147
VA,38662,8208,0.2123
TX,112090,23759,0.212
DE,3841,805,0.2096
MN,24331,5095,0.2094
AK,3242,679,0.2094
ID,1734,363,0.2093
CA,199629,41641,0.2086
AZ,33192,6915,0.2083
MA,31462,6387,0.203
WI,18088,3610,0.1996
GA,44085,8687,0.1971
IL,52431,10071,0.1921
RI,5963,1141,0.1913
CT,20067,3767,0.1877
UT,10165,1841,0.1811
MT,3868,690,0.1784
KS,11383,2025,0.1779
WY,2958,526,0.1778
SC,16234,2845,0.1752
WA,29571,4982,0.1685
CO,30032,4968,0.1654
WV,4920,799,0.1624
NH,6553,1044,0.1593
OR,16607,2561,0.1542
ME,2064,315,0.1526
VT,2686,404,0.1504
DC,3518,502,0.1427
