grade,purpose,loan_count,default_count,default_rate
G,debt_consolidation,5861,3106,0.5299
G,other,1021,517,0.5064
F,debt_consolidation,21085,10229,0.4851
F,small_business,1141,517,0.4531
F,credit_card,2878,1296,0.4503
F,home_improvement,1979,826,0.4174
F,other,3073,1276,0.4152
E,credit_card,10859,4474,0.412
E,major_purchase,1848,760,0.4113
E,debt_consolidation,62144,25520,0.4107
E,small_business,2380,975,0.4097
E,home_improvement,5780,2085,0.3607
E,other,7824,2812,0.3594
E,moving,1123,399,0.3553
E,medical,1363,475,0.3485
D,small_business,3677,1275,0.3468
D,credit_card,29600,9775,0.3302
D,debt_consolidation,128872,42217,0.3276
D,major_purchase,4156,1358,0.3268
D,house,1424,443,0.3111
D,medical,3006,933,0.3104
D,home_improvement,12032,3531,0.2935
D,moving,2289,666,0.291
C,small_business,4039,1153,0.2855
D,other,16576,4718,0.2846
D,car,1761,486,0.276
D,vacation,1779,465,0.2614
C,medical,4968,1231,0.2478
C,credit_card,75303,18490,0.2455
C,debt_consolidation,236386,57010,0.2412
C,major_purchase,7892,1827,0.2315
C,home_improvement,24152,5561,0.2303
B,small_business,2615,601,0.2298
C,moving,2978,682,0.229
C,house,1830,417,0.2279
C,other,24236,5440,0.2245
C,vacation,3063,652,0.2129
C,car,3714,754,0.203
B,moving,1878,343,0.1826
B,medical,3932,651,0.1656
B,vacation,2353,385,0.1636
B,house,1453,220,0.1514
B,major_purchase,8490,1266,0.1491
B,other,17830,2647,0.1485
B,debt_consolidation,223042,32123,0.144
B,home_improvement,25502,3628,0.1423
B,credit_card,105138,14924,0.1419
A,small_business,1469,204,0.1389
B,car,4550,549,0.1207
A,vacation,1183,111,0.0938
A,medical,2025,180,0.0889
A,house,1008,79,0.0784
A,other,9042,702,0.0776
A,debt_consolidation,115719,7597,0.0657
A,credit_card,74937,4784,0.0638
A,major_purchase,6744,418,0.062
A,home_improvement,18989,1124,0.0592
A,car,3831,214,0.0559
