target,feature,correlation
default_rate,ers_poverty_rate_2023,0.3982
default_rate,ers_median_household_income_2022,-0.4041
default_rate,ers_unemployment_rate_2023,-0.0381
default_rate,avg_interest_rate,0.6534
default_rate,avg_fico,-0.4523
default_rate,share_grade_A,-0.6615
default_rate,share_grade_G,0.3983
default_residual_after_avg_interest,ers_poverty_rate_2023,0.3621
default_residual_after_avg_interest,ers_median_household_income_2022,-0.2534
default_residual_after_avg_interest,ers_unemployment_rate_2023,0.0833
default_residual_after_avg_interest,avg_interest_rate,0.0
default_residual_after_avg_interest,avg_fico,0.0209
default_residual_after_avg_interest,share_grade_A,-0.0802
default_residual_after_avg_interest,share_grade_G,-0.0794
default_residual_after_avg_fico,ers_poverty_rate_2023,0.4586
default_residual_after_avg_fico,ers_median_household_income_2022,-0.4206
default_residual_after_avg_fico,ers_unemployment_rate_2023,-0.049
default_residual_after_avg_fico,avg_interest_rate,0.3695
default_residual_after_avg_fico,avg_fico,-0.0003
default_residual_after_avg_fico,share_grade_A,-0.3389
default_residual_after_avg_fico,share_grade_G,0.1231
