state,loan_count,default_rate,avg_interest_rate,avg_fico,share_grade_A,share_grade_B,share_grade_C,share_grade_D,share_grade_E,share_grade_F,share_grade_G,state_name,ers_unemployment_rate_2023,ers_median_household_income_2022,ers_poverty_rate_2023,default_residual_after_avg_interest,default_residual_after_avg_fico
AK,3242,0.2094,13.5302,697.8795,0.1733,0.2656,0.281,0.1687,0.0771,0.0244,0.0099,Alaska,4.2,88072.0,10.5,-0.016,-0.0004
AL,16922,0.2503,13.7701,697.544,0.1432,0.2776,0.2909,0.1668,0.0857,0.0277,0.0081,Alabama,2.5,59703.0,15.7,0.0055,0.0372
AR,10229,0.2544,13.547,698.702,0.155,0.2832,0.2909,0.1622,0.0763,0.0273,0.0052,Arkansas,3.3,55505.0,15.4,0.0277,0.0525
AZ,33192,0.2083,13.1303,696.6371,0.179,0.2973,0.2852,0.1431,0.0676,0.0214,0.0064,Arizona,3.9,74355.0,12.6,0.0152,-0.0135
CA,199629,0.2086,13.1914,697.7069,0.1774,0.2972,0.2816,0.1463,0.0674,0.0236,0.0064,California,4.8,91517.0,12.0,0.0106,-0.0029
CO,30032,0.1654,13.0671,698.3403,0.1906,0.2909,0.2803,0.1428,0.0654,0.0228,0.0073,Colorado,3.2,89096.0,9.4,-0.0226,-0.04
CT,20067,0.1877,13.1709,699.219,0.1809,0.2926,0.2823,0.1462,0.0696,0.0223,0.0061,Connecticut,3.8,88182.0,10.2,-0.0087,-0.0092
DC,3518,0.1427,12.6258,700.1356,0.2297,0.2902,0.2575,0.1319,0.0654,0.0213,0.004,District of Columbia,4.9,99897.0,15.2,-0.0096,-0.0453
DE,3841,0.2096,13.4047,698.0897,0.1692,0.2809,0.2866,0.1541,0.0776,0.0258,0.0057,Delaware,4.0,81933.0,10.8,-0.0057,0.0018
FL,97522,0.2302,13.362,696.6542,0.1613,0.2938,0.2903,0.1545,0.0698,0.0234,0.007,Florida,2.9,69287.0,12.4,0.0184,0.0085
