column,missing_rate
member_id,1.0
revol_bal_joint,1.0
sec_app_fico_range_low,1.0
sec_app_fico_range_high,1.0
sec_app_earliest_cr_line,1.0
sec_app_inq_last_6mths,1.0
sec_app_mort_acc,1.0
sec_app_open_acc,1.0
sec_app_revol_util,1.0
sec_app_open_act_il,1.0
sec_app_num_rev_accts,1.0
sec_app_chargeoff_within_12_mths,1.0
sec_app_collections_12_mths_ex_med,1.0
sec_app_mths_since_last_major_derog,1.0
desc,0.9999
dti_joint,0.9975
annual_inc_joint,0.9974
verification_status_joint,0.9974
orig_projected_additional_accrued_interest,0.9944
hardship_type,0.993
hardship_reason,0.993
hardship_status,0.993
deferral_term,0.993
hardship_amount,0.993
hardship_start_date,0.993
hardship_end_date,0.993
payment_plan_start_date,0.993
hardship_length,0.993
hardship_dpd,0.993
hardship_loan_status,0.993
