issue_quarter,loan_count,default_count,default_rate,avg_fed_funds_rate,avg_unemployment_rate,quarterly_cpi_inflation_rate,macro_pressure_score,macro_state
2007-Q2,4,3,0.75,5.25,4.5,1.1326,5.647597368182,压力期
2007-Q3,111,40,0.3604,5.0733,4.6667,0.633,4.243527465352614,压力期
2007-Q4,249,115,0.4618,4.4967,4.8,1.2266,5.136788526269349,压力期
2008-Q1,719,234,0.3255,3.1767,5.0,1.0832,3.67551112604414,压力期
2008-Q2,358,110,0.3073,2.0867,5.3333,1.3009,3.1805802513848125,压力期
2008-Q3,210,52,0.2476,1.94,6.0,1.5419,3.3028463347613553,压力期
2008-Q4,524,100,0.1908,0.5067,6.8667,-2.2902,3.5312151346632703,压力期
2009-Q1,805,123,0.1528,0.1833,8.2667,-0.6879,-1.2187694505881521,观察期
2009-Q2,998,158,0.1583,0.18,9.3,0.5318,-2.1106597169451886,正常期
2009-Q3,1261,174,0.138,0.1567,9.6333,0.8604,-1.5177878253627248,正常期
2009-Q4,1781,268,0.1505,0.12,9.9333,0.7829,-1.8806121552573414,正常期
2010-Q1,1999,254,0.1271,0.1333,9.8333,0.1585,-3.2992858890071934,正常期
2010-Q2,2844,441,0.1551,0.1933,9.6333,-0.0353,-3.4441877815460415,正常期
2010-Q3,3361,537,0.1598,0.1867,9.4667,0.2931,-2.754785714194331,正常期
2010-Q4,3602,525,0.1458,0.1867,9.5,0.8097,-1.5476732987082296,正常期
2011-Q1,4126,565,0.1369,0.1567,9.0333,1.0672,-0.7261956310026068,观察期
2011-Q2,5102,783,0.1535,0.0933,9.0667,1.137,-0.6266672533496247,观察期
2011-Q3,5876,861,0.1465,0.0833,9.0,0.6521,-1.7496223487823206,正常期
2011-Q4,6617,1088,0.1644,0.0733,8.6333,0.4489,-2.0543783754643288,正常期
2012-Q1,8076,1304,0.1615,0.1033,8.2667,0.5632,-1.5760695714538615,正常期
2012-Q2,10447,1779,0.1703,0.1533,8.2,0.2111,-2.338004838668927,正常期
2012-Q3,16133,2654,0.1645,0.1433,8.0333,0.4515,-1.692403937266079,正常期
2012-Q4,18711,2907,0.1554,0.16,7.8,0.665,-1.0563932004093453,观察期
2013-Q1,22706,3410,0.1502,0.1433,7.7333,0.402,-1.6588367484042985,正常期
2013-Q2,30668,4985,0.1625,0.1167,7.5333,-0.1095,-2.271803718702735,正常期
2013-Q3,37571,5847,0.1556,0.0833,7.2333,0.5408,-1.125027962731938,观察期
2013-Q4,43862,6785,0.1547,0.0867,6.9333,0.3698,-1.37667143120904,正常期
2014-Q1,47049,7787,0.1655,0.0733,6.6667,0.6228,-0.6536220110393592,观察期
2014-Q2,52528,9838,0.1873,0.0933,6.2,0.5311,-0.6207451119836358,观察期
2014-Q3,55327,10479,0.1894,0.09,6.0667,0.2558,-1.20847790686105,观察期
2014-Q4,68533,13392,0.1954,0.1,5.7,-0.2484,-1.033902794550328,观察期
2015-Q1,76993,15625,0.2029,0.11,5.5333,-0.6473,0.002663397053414278,观察期
2015-Q2,86212,17955,0.2083,0.1233,5.4333,0.6819,0.1451986272129535,观察期
2015-Q3,98266,20181,0.2054,0.1367,5.1,0.3777,-0.39752574006703967,观察期
2015-Q4,115434,23402,0.2027,0.16,5.0333,-0.0076,-1.222756039365779,正常期
2016-Q1,112966,23823,0.2109,0.36,4.9,-0.0621,-0.871924548467512,观察期
2016-Q2,63851,16857,0.264,0.3733,4.9333,0.7998,0.8692738276454415,压力期
2016-Q3,62074,16989,0.2737,0.3967,4.9,0.4245,0.015008753573322875,观察期
2016-Q4,58760,15129,0.2575,0.45,4.7667,0.6348,0.621469469066142,压力期
2017-Q1,48333,12210,0.2526,0.7,4.5667,0.7037,1.0786253062133673,压力期
2017-Q2,46274,12373,0.2674,0.95,4.3667,0.1154,-0.021163516853750286,观察期
2017-Q3,46261,12905,0.279,1.1533,4.3333,0.478,1.0118988819824315,压力期
2017-Q4,36457,9685,0.2657,1.2033,4.1667,0.7955,1.8865128243037539,压力期
2018-Q1,24682,6539,0.2649,1.4467,4.0333,0.8426,2.253432728042127,压力期
2018-Q2,20929,5827,0.2784,1.7367,3.9333,0.5444,1.8215683222200356,压力期
2018-Q3,12049,2758,0.2289,1.9233,3.7667,0.4018,1.7118366317885108,压力期
2018-Q4,5879,971,0.1652,2.22,3.8333,0.4071,1.9203995424836853,压力期
